bm_src_id,vs_type,obs_threshold,cnt,PeriodLS,median_hjd
32140000002913,RRLyr-RRab,20,68,0.5798141360636985,56430.41192186301
32140000030432,RRLyr-RRab,23,68,0.5649628075893546,56430.411927723806
32140000030564,RRLyr-RRab,19,68,0.4037226738542913,56430.41187885101
32140000089220,RRLyr-RRab,18,68,0.5607086372226203,56430.41187792433
32140000114937,RRLyr-RRab,32,68,0.4803219341436945,56430.41187257058
32140000130335,RRLyr-RRab,68,68,0.6732733648696406,56808.17756437463
32140000137195,RRLyr-RRab,67,67,0.5692493540229594,-1.0
32140000123168,RRLyr-RRab,18,68,0.50242331056554,56430.41189621604
32140000143238,RRLyr-RRab,14,68,0.7026010731998346,56430.41190581009
32140000159828,RRLyr-RRab,22,67,0.651354145970839,56430.41192169263
32140000160885,RRLyr-RRab,18,68,0.6502849225613916,56430.4119147258
32140000127567,RRLyr-RRab,18,68,0.5512212322343725,56430.41189313131
32140000149194,RRLyr-RRab,16,68,0.6566228989003814,56430.41185956797
32140000171430,RRLyr-RRab,20,68,0.5507001389142875,56430.41191736539
32140000181675,RRLyr-RRab,34,68,0.8670937549312744,56423.409950104695
32140000186088,RRLyr-RRab,13,68,0.767624897851345,56430.411881580556
32140000193594,RRLyr-RRab,13,68,0.6302552234663324,56430.41185145345
32140000192804,RRLyr-RRab,17,68,0.6346982746785025,56430.41191309446
32140000199896,RRLyr-RRab,23,68,0.5131489148661581,56430.41185419125
32140000203741,RRLyr-RRab,34,68,0.4179140801210749,56430.411872382836
32140000209145,RRLyr-RRab,18,68,0.6074844481663118,56430.41189823666
32140000213243,RRLyr-RRab,28,68,0.4856689287541603,56430.41185478017
32140000220391,RRLyr-RRab,16,68,0.5244257008534374,56430.41186433842
32140000232835,RRLyr-RRab,14,68,0.5432686852806667,56430.41188755323
32140000282841,RRLyr-RRab,15,68,0.5758360130053204,56430.41190630465
32140000297297,RRLyr-RRab,16,67,0.5838476367385756,56423.41001440971
32140000306512,RRLyr-RRab,20,68,0.4401661583149376,56430.41187629261
32140000331135,RRLyr-RRab,14,68,0.6170991107518595,56430.411896761434
32140000338577,RRLyr-RRab,21,68,0.5938605461664935,56423.41001168184
32140000342446,RRLyr-RRab,14,68,0.5560181119713328,56430.41186454507
32140000386745,RRLyr-RRab,11,68,0.5264607955751589,56430.41185513361
32140000402260,RRLyr-RRab,24,68,0.7179320820057649,56430.411838743785
32140000425123,RRLyr-RRab,16,68,0.5836412361867677,56430.411850399294
32140000439958,RRLyr-RRab,68,68,0.5439251455669943,56813.17669952614
32140000460829,RRLyr-RRab,19,68,0.5243423986404956,56423.40997745015
