bm_src_id,vs_type,obs_threshold,cnt,PeriodLS,median_hjd,tile
32160000013593,RRLyr-RRab,20,132,0.4721592484542894,56458.18200454272,b216
32160000038527,RRLyr-RRab,17,133,0.5970756248695566,56468.66305298748,b216
32160000029883,RRLyr-RRab,22,132,0.7452308373111457,56479.14408711308,b216
32160000077825,RRLyr-RRab,9,134,0.4989230971145256,56479.14555831427,b216
32160000092934,RRLyr-RRab,22,67,0.4849196257798534,56479.145359203,b216
32160000106729,RRLyr-RRab,13,134,0.5672545769598298,56468.66429916973,b216
32160000111520,RRLyr-RRab,21,134,0.6497183176107172,56479.14577828308,b216
32160000156428,RRLyr-RRab,55,199,0.5342492698950312,56458.18201288149,b216
32160000173117,RRLyr-RRab,11,141,0.526058185947941,56381.35374190419,b216
32160000174079,RRLyr-RRab,16,265,0.5697003923910824,56479.14410033385,b216
32160000185900,RRLyr-RRab,20,200,0.5830493373931674,56458.18303839988,b216
32160000198428,RRLyr-RRab,15,134,0.8069751996003985,56479.14598550115,b216
32160000238457,RRLyr-RRab,36,260,0.5380412775465102,56479.14537607147,b216
32160000244762,RRLyr-RRab,23,132,0.5437554388780115,56441.29383525615,b216
32160000218447,RRLyr-RRab,19,134,0.4561474992478007,56468.66430835951,b216
32160000255596,RRLyr-RRab,21,67,0.5401511083645225,56458.181220688064,b216
32160000263388,RRLyr-RRab,20,132,0.5627496020632494,56468.66287491981,b216
32160000269707,RRLyr-RRab,38,132,0.539704037055043,56468.66328262952,b216
32160000269987,RRLyr-RRab,27,193,0.534278341155486,56479.14410853401,b216
32160000274764,RRLyr-RRab,15,132,0.6279397858521574,56479.144109180685,b216
32160000280515,RRLyr-RRab,24,66,0.6004114815132024,56468.66350253999,b216
32160000312666,RRLyr-RRab,31,133,0.5666956533326686,56419.77029184142,b216
32160000319418,RRLyr-RRab,26,195,0.6957606403759417,56495.118582046765,b216
32160000327426,RRLyr-RRab,19,132,0.6283432943376964,56441.29509947432,b216
32160000338869,RRLyr-RRab,36,134,0.5517009373788999,56479.146005006274,b216
32160000348407,RRLyr-RRab,19,134,0.4673528190219764,56458.18323193949,b216
32160000344509,RRLyr-RRab,35,196,0.5969298718543617,56479.145785619134,b216
32160000369674,RRLyr-RRab,131,130,0.4394215423061345,56439.2624993796,b216
32160000374855,RRLyr-RRc,14,130,0.3241902451174674,56468.66329413449,b216
32160000377425,RRLyr-RRab,29,133,0.5626525791653353,56479.14412505111,b216
32160000381474,RRLyr-RRab,26,132,0.4748647967191319,56458.18203390721,b216
32160000394762,RRLyr-RRab,19,67,0.9120439487900164,56479.14412874453,b216
32160000382969,RRLyr-RRab,27,197,0.5640154818411026,56468.66307649568,b216
32160000383617,RRLyr-RRab,20,66,0.5650256254424757,56424.4058561254,b216
32160000402336,RRLyr-RRab,35,133,0.3904524479298672,56479.14412537779,b216
32160000430249,RRLyr-RRab,28,134,0.5000456657226823,56479.145595440175,b216
32160000428362,RRLyr-RRc,36,132,0.3592270631545523,56479.14601693816,b216
32160000440801,RRLyr-RRab,19,134,0.5375679159242934,56479.14601800975,b216
32160000450698,RRLyr-RRab,18,200,0.5457889342203636,56458.18304028706,b216
32160000442998,RRLyr-RRab,16,67,0.547071117185379,56479.14539831231,b216
32160000465922,RRLyr-RRab,34,199,0.4861493436507972,56479.1454066166,b216
32160000468206,RRLyr-RRab,18,200,0.5285891026063823,56479.14540574577,b216
32160000468542,RRLyr-RRab,36,67,0.7136851442759271,56479.14540077461,b216
